brand,product_name,shades,price,size,rating,reviews_count,product_url,image_path
rhode,Pocket Blush Buildable Hydrating Cream Blush,"Piggy - baby pink NEW, Sprinkle - warm pearly pink NEW, Juice Box - hot pink NEW, Spicy Marg - bright coral NEW, Freckle - neutral peach NEW, Tan Line - pinky tan OUT OF STOCKNEW, Sleepy Girl - soft mauve NEW, Toasted Teddy - bronze terracotta NEW, Sun Soak - spiced orange NEW, Date Cake - warm red berry NEW, , , , , , , , , , ",$25.00,Size 0.18oz/5.3g,4.2,413 Reviews*,./imagenes/0.jpg
PATRICK TA,Major Headlines Double-Take Crème & Powder Blush Duo,"Just Enough - soft blue pink, Not Too Much - soft rosey taupe, She's the Moment (soft tangerine) - golden peach, She's Vibrant - bright pinky coral, She's a Doll - bright neutral pink, She's Giving - vibrant blue pink, She's That Girl - soft pink, She's Flushed - soft peachy pink, She's Blushing - dusty rose, She's Wanted - rich berry, She's So LA - bronzed nude, She Goes To The Gym - cool mauve rose, She Left Me On Red - warm vivid red, She Knows Who She Is - terracotta, She's Seductive - warm mauve rose, , , , , , , , , , , , , , , ",$38.00,Size 0.17 oz crème and 0.17 oz powder/5 g crème and 5 g powder,4.7,3.747 Reviews*,./imagenes/1.jpg
Valentino,Eye2Cheek Eyeshadow and Blush,"01 Born In Roma - poppy bright pink with light reflecting pearls, 02 Very Rose - cool rosebud pink with light reflecting pearls, 03 Rosa Emozione - cool dusty pink with a touch of lavender and light reflecting pearls, 04 Sweet Rebel - warm rose with light reflecting pearls, 05 Rosso Valentino - red coral rose with light reflecting pearls, 06 Call Me Coral - pink coral with light reflecting pearls, 08 Roman Sky - light peachy pink with light reflecting pearls, 10 Fuschia Illusion - intense raspberry with light reflecting pearls, , , , , , , , ",$52.00,Size 3.6 g,4.6,529 Reviews*,./imagenes/2.jpg
Rare Beauty by Selena Gomez,Soft Pinch Liquid Blush,"Believe - true mauve, Hope - nude mauve, Encourage - soft neutral pink, Happy - dewy cool pink, Joy - dewy muted peach, Lucky - dewy hot pink, Grateful - dewy true red, Worth - true rose, Virtue - beige peach, Adore - bright pink NEW, Spirited - midtone violet NEW, Resilience - warm chestnut NEW, Hope - nude mauve LIMITED EDITION, Happy - dewy cool pink, Charm - coral pink, Grateful - dewy true red, Spirited - mid-tone violet LIMITED EDITION, Wonder - rose mauve LIMITED EDITION, Bliss - matte nude pink, Love - matte terracotta, Grace - matte bright rose mauve, Faith - matte deep berry, Faith - deep berry, , , , , , , , , , , , , , , , , , , , , , , ",$25.00,Size 0.25 oz/7.5 mL,4.5,11.894 Reviews*,./imagenes/3.jpg
Saie,Dew Blush Liquid Cream Blush,"Lady - Nude Mauve, Flirty - Watermelon, Hottie - Papaya, Rosy - soft rose, Sweetie - neutral pink, Chilly - mauve, Dreamy - bright berry, Spicy - warm terracotta, Poppy - bright coral, Cutie - warm dusty rose, Baby - cool baby pink, , , , , , , , , , , ",$26.00,Size 0.40 oz/12 mL,4.5,3.019 Reviews*,./imagenes/4.jpg
Rare Beauty by Selena Gomez,Mini Soft Pinch Liquid Blush,"Hope - nude mauve LIMITED EDITION, Happy - dewy cool pink, Charm - coral pink, Grateful - dewy true red, Wonder - rose mauve LIMITED EDITION, Spirited - mid-tone violet LIMITED EDITION, Faith - deep berry, , , , , , , ",$15.00,Size 0.11 oz/3.2 mL,4.4,1.436 Reviews*,./imagenes/5.jpg
SEPHORA COLLECTION,Sephora Colorful® Blush,"49 Shine Bright - bronze orangey coral SALE, 23 Passionate - deep bronze coral SALE, 29 Fascinated - intense tangerine SALE, 16 Heated - deep mauve rose, 06 Flirt It Up - intense strawberry, 01 Shame On You - muted dusty rose, 50 Over The Top - bright pinky coral, 17 Hey Jealousy - deep berry pink, 05 Sweet On You - intense watermelon rose, 51 Trust Yourself - muted lilac pink, , , , , , , , , , ",$7.00,Size 0.12 oz / 3.5 g,4.3,596 Reviews*,./imagenes/6.jpg
Rare Beauty by Selena Gomez,Soft Pinch Luminous Powder Blush,"Cheer (Selena's custom shade) - light warm pink, Hope - nude mauve, Happy - cool pink, Truth - mauve maroon, Love - terracotta, Joy - muted peach, , , , , , ",$27.00,Size 0.098 oz,4.2,2.884 Reviews*,./imagenes/7.jpg
NARS,Talc-Free Powder Blush,"Orgasm X – 776 - shimmering deep coral with gold pearl, Orgasm Rush – 775 - deep rose bronze with shimmer, Deep Throat – 237 - soft pink with golden sheen, Orgasm – 777 - peachy pink with golden shimmer, Orgasm Edge – 778 - mini matte peachy pink (no shimmer), Orgasm – 777 - mini peachy pink with golden shimmer, Orgasm – 777 - refill peachy pink with golden shimmer OUT OF STOCK, Sex Appeal – 920 - refill matte soft peach, Dolce Vita – 888 - matte dusty rose, Amour – 901 - matte warm pink, Behave – 900 - matte pink mauve, Thrill – 950 - matte cool light pink, Dominant – 951 - matte poppy pink, Exhibit A – 953 - matte red, Sex Appeal – 920 - matte soft peach, Orgasm Edge – 778 - matte peachy pink (no shimmer), Teased - Matte fuchsia, Impassioned - 903 - matte pink orchid, , , , , , , , , , , , , , , , , , ",$36.00,Size 0.17 oz / 4.8 g,4.3,701 Reviews*,./imagenes/8.jpg
SEPHORA COLLECTION,Blush Blush Blush. Cream & Powder Palette,"01 Candy Lover - fresh pink blush palette SALELIMITED EDITION, 02 Sunset Chaser - bright peach blush palette SALELIMITED EDITION, 03 Deal Closer - muted berry blush palette OUT OF STOCKSALELIMITED EDITION, 04 Heart Breaker - vibrant red blush palette SALELIMITED EDITION, , , , ",$9.00,Size 0.26 oz / 7.7 mL,4.4,72 Reviews*,./imagenes/9.jpg
